TST_SpeedDem;TST_SepSealFlwSet1;TST_SepSealFlwSet2;TST_SepSealPSet1;TST_SepSealPSet2;TST_SepSealControlTyp;TST_StepDuration;TST_APFlag;TST_MeasurementReq;TST_TempDemand;TST_GasType;TST_TorqueCheck
0;47.5;0;1;0;0;2;0;1;100;Air;0
1275;47.5;0;1;0;0;5;1;1;100;Air;0
2550;47.5;0;1;0;0;5;1;1;100;Air;0
3825;47.5;0;1;0;0;5;1;1;100;Air;0
5100;47.5;0;1;0;0;5;1;1;100;Air;0
7640;47.5;0;1;0;0;5;1;1;100;Air;0
12740;47.5;0;1;0;0;5;1;1;100;Air;0
15280;47.5;0;1;0;0;5;1;1;100;Air;0
16550;47.5;0;1;0;0;5;1;1;100;Air;0
0;47.5;0;1;0;0;2;0;1;100;Air;0
0;0;0;1;0;0;5;1;1;100;Air;0
0;47.5;0;1;0;0;2;0;1;100;Air;0
12740;47.5;0;1;0;0;30;1;1;100;Air;0
15280;47.5;0;1;0;0;10;1;1;100;Air;0
16550;47.5;0;1;0;0;10;1;1;100;Air;0
12740;47.5;0;1;0;0;5;1;1;100;Air;0
6370;47.5;0;1;0;0;5;1;1;100;Air;0
3185;47.5;0;1;0;0;5;1;1;100;Air;0
0;47.5;0;1;0;0;2;0;1;100;Air;0
0;47.5;0;1;0;0;5;1;1;100;Air;0
0;47.5;0;1;0;0;2;0;1;100;Air;0
0;100;0;0.1;0;1;2;0;1;100;Air;0
10000;100;0;0.1;0;1;5;1;1;100;Air;0
0;100;0;0.1;0;1;2;0;1;100;Air;0
10000;100;0;0.1;0;1;5;1;1;100;Air;0
0;100;0;0.1;0;1;2;0;1;100;Air;0
10000;100;0;0.1;0;1;5;1;1;100;Air;0
0;100;0;0.1;0;1;2;0;1;100;Air;0
0;100;0;0.1;0;1;2;0;1;100;Air;0
0;100;0;0;0;1;0;0;1;100;Air;0
